,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.285478757693369,,Intercept,311.9518042035672,312.0,0.04819579643282168,312.0
1,1,grade:A,1.1412192346853447,1.832544958926855e-36,grade,88.99277687614344,89.0,0.007223123856562097,89.0
2,2,grade:B,0.88513411029766,7.376997238315649e-48,grade,69.02314646396745,69.0,-0.023146463967449904,69.0
3,3,grade:C,0.6900672125545828,1.779245549640704e-34,grade,53.81174415040804,54.0,0.18825584959196107,54.0
4,4,grade:D,0.5020343289397593,4.885363551786268e-21,grade,39.14885734625635,39.0,-0.1488573462563494,39.0
5,5,grade:E,0.3266029649609789,4.525653388622054e-12,grade,25.46864257495023,25.0,-0.46864257495023054,25.0
6,6,grade:F,0.13683252884943,0.005268095032770803,grade,10.67026066437904,11.0,0.32973933562096036,11.0
7,7,home_ownership:OWN,0.09190908146096614,5.02709337314022e-06,home_ownership,7.167110517202437,7.0,-0.16711051720243741,7.0
8,8,home_ownership:MORTGAGE,0.10606754935228303,4.970502428062159e-17,home_ownership,8.271194058440166,8.0,-0.271194058440166,8.0
9,9,addr_state:NM_VA,0.028893605837121517,0.36680584776659664,addr_state,2.25313606646242,2.0,-0.25313606646242004,2.0
10,10,addr_state:NY,0.05128533812481686,0.03432813173964813,addr_state,3.9992531794452146,4.0,0.0007468205547853657,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.053485752559395056,0.020948569030740657,addr_state,4.170842462958697,4.0,-0.17084246295869665,4.0
12,12,addr_state:CA,0.05793343760656644,0.006315754837539568,addr_state,4.517674895315496,5.0,0.48232510468450407,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07306226393707108,0.0033772724034542103,addr_state,5.697427413594544,6.0,0.30257258640545626,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13019983878658192,7.607189853082298e-09,addr_state,10.153040581758894,10.0,-0.15304058175889423,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.094414011438797,0.0015577230821886014,addr_state,7.36244605645045,7.0,-0.3624460564504499,7.0
16,16,addr_state:GA_WA_OR,0.18015003190694673,1.4562415961257802e-11,addr_state,14.048178567674919,14.0,-0.04817856767491868,14.0
17,17,addr_state:WI_MT,0.22366705748042548,2.363748316421497e-06,addr_state,17.44165532434893,17.0,-0.44165532434892896,17.0
18,18,addr_state:TX,0.21684633382809412,7.251874024663398e-17,addr_state,16.9097722998807,17.0,0.09022770011929993,17.0
19,19,addr_state:IL_CT,0.2560277650195825,1.8834869981791636e-18,addr_state,19.965157503472618,20.0,0.03484249652738214,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3149069671071455,1.7964831824779617e-24,addr_state,24.556583528173796,25.0,0.4434164718262039,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5163824865315295,2.848213647926722e-22,addr_state,40.26773297360258,40.0,-0.26773297360257686,40.0
22,22,verification_status:Not Verified,0.0846155989829442,6.754745958779866e-09,verification_status,6.598361551982246,7.0,0.4016384480177537,7.0
23,23,verification_status:Source Verified,-0.010895484538024969,0.41721806675798845,verification_status,-0.8496346670123106,-1.0,-0.1503653329876894,-1.0
24,24,purpose:credit_card,0.30510715059972676,3.2952624517921124e-27,purpose,23.79238953514815,24.0,0.2076104648518502,24.0
25,25,purpose:debt_consolidation,0.20122716160302073,9.20394809435726e-15,purpose,15.691782393498464,16.0,0.30821760650153607,16.0
26,26,purpose:oth__med__vacation,0.21711751077976474,2.826031422663838e-12,purpose,16.930918797609188,17.0,0.06908120239081228,17.0
